,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.028175254055617494,0.02947895195087291
5,AACPS1,-99.99073034141563,100.0
6,AACPS3,-99.93457706008262,100.0
7,ABTA,-0.029478951950807186,99.31706085350561
8,ACCOACr,-91.88836946219685,100.0
9,ACGK,0.0,100.0
10,ACGS,0.0,100.0
11,ACHBS,0.18515166950973896,0.19371882710530602
12,ACKr,-99.9801770454643,100.0
13,ACLS,0.5568362668175353,0.5826016518411882
14,ACOATA,-100.0,100.0
15,ACODA,-1.000017846308765e-10,100.0
16,ACOTA,-100.0,-0.0
17,ACS,-12.830028728162077,100.0
18,ADA,0.0,99.79626671268485
19,ADCL,0.03354196911409522,0.0350939904176202
20,ADCS,0.03354196911409522,0.035093990610667966
21,ADD,0.0,99.79626673598523
22,ADK1,-100.0,100.0
23,ADK3,-100.0,100.0
24,ADMDCr,0.004695875675977845,0.004913158658467864
25,ADNK1,-100.0,99.48741023203385
26,ADPT,-100.0,100.0
27,ADSK,0.15634515559524553,0.1635794062547996
28,ADSL1r,0.187163554572777,100.0
29,ADSL2r,0.33012609757535927,0.3454013706084993
30,ADSS,0.1871635545727628,100.0
31,AGMHE,0.01690515243350399,0.017687371170480137
32,AGPR,-100.0,5.684341886080801e-13
33,AICART,0.3905016419807339,0.40857055336019243
34,AIRC2,0.3301260975753735,0.3454013706085419
35,AIRC3,-0.34540137060844245,-0.33012609757534506
36,ALAALAr,0.018515166951051487,0.019371882710487398
37,ALAR,-99.96296966609839,100.0
38,ALATAD2,-100.0,99.96296966609822
39,ALATAL,-100.0,99.6170848805935
40,ALATAL2,-99.96296966609839,100.0
41,ALDD2x,0.0,100.0
42,AMALT1,-100.0,100.0
43,AMALT2,-100.0,100.0
44,AMALT3,-100.0,100.0
45,AMALT4,-100.0,100.0
46,ANPRT,0.03622532664322284,0.037901509859521405
47,ANS,0.03622532664322284,0.03790150965102982
48,APRAUR,6.708393822819045e-06,7.018798083524042e-06
49,ASNS1,-99.84637778145776,100.0
50,ASNS2,-99.84637778145776,100.0
51,ASP1DC,3.957952355460037e-05,4.141090869280717e-05
52,ASPCT,0.4732656874175234,0.5765682096593707
53,ASPO4,-100.0,100.0
54,ASPO5,-100.0,100.0
55,ASPO6,-46.98451243701175,46.633443268271776
56,ASPT,-99.35815877105411,97.98793850186254
57,ASPTA,-100.0,98.1766720305032
58,ATPHYD,3.15,100.0
59,ATPPRT,0.060375544405289396,0.06316918275174135
60,BETALDHx,-100.0,100.0
61,BETALDHy,-100.0,100.0
62,BPNT,0.15634515559523926,0.16357940625480294
63,BSORx,-100.0,100.0
64,BSORy,-100.0,100.0
65,C120SN,0.02817525405579424,0.029478952072524003
66,C140SN,-99.9907303414156,100.0
67,C141SN,0.009086519433008533,0.00950696200413148
68,C160SN,-99.93457706008235,100.0
69,C161SN,0.012721127206187788,0.013309746805788336
70,C181SN,0.09086519433013507,0.09506962004132902
71,CAT,0.0,23.493172112721453
72,CBPS,0.0,100.0
73,CHORM,0.20594769036166483,0.2154771011630885
74,CHORS,0.27571498611774814,0.28847260123283813
75,CITL,0.0,100.0
76,CLPNSEC,0.004326914015713532,0.004527124763877732
77,CMPN,0.0,99.79807734593315
78,CTPS2,0.0,100.0
79,CYSTL,0.09794254981310502,0.10247445201956396
80,cytd,0.0,99.79807734593314
81,CYTDK2,-99.76446829288084,99.93004350794757
82,DAAD,-100.0,100.0
83,DADA,-0.017336431266301133,99.79626675044034
84,DAGKEC,0.0,100.0
85,DAPDC,0.21869363862511193,0.22881281764470424
86,DAPE,0.23720880557488142,0.24818470125773545
87,DB4PS,1.341678764563809e-05,1.4037596167270135e-05
88,DCTPD,0.0,99.57653243918318
89,DDPA,0.2757149861178627,0.2884726012328382
90,DHAD1,0.5568362668175353,0.5826016518411882
91,DHAD2,0.18515166951083017,0.1937188271042345
92,DHAPT,-100.0,100.0
93,DHDPRy,0.23720880557488142,0.2481847002334101
94,DHDPS,0.23720880557488142,0.2481847002334101
95,DHFR,0.05011170185645142,0.05243042168392459
96,DHFS,0.03354196911382701,0.03509399041762021
97,DHNPA2,0.03354196911409522,0.0350939904176202
98,DHORD2,0.0,99.01668045042484
99,DHORD5,-98.97874342519212,0.573380868208389
100,DHORTS,-0.5765682096593565,-0.4732656874175092
101,DHPPDA2,6.708393822819045e-06,7.018798083735511e-06
102,DHPS2,0.033541969114097014,0.035093990417620236
103,DHQD,0.27571498611774814,0.28847260123283813
104,DHQS,0.27571498611774814,0.28847260123283813
105,DKGLCNR1,-100.0,100.0
106,DKGLCNR2x,-100.0,100.0
107,DKGLCNR2y,-100.0,100.0
108,DKMPPD,0.0,0.004913158658466829
109,DKMPPD2,0.0,0.004913158658466829
110,DMPPS,0.0,-0.0
111,DMSOR1,0.0,-0.0
112,DMSOR2,0.0,-0.0
113,DNMPPA,0.033541969114097014,0.035091188316772146
114,DNTPPA,0.033541969114097014,0.03509399041762021
115,DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
116,DPR,-4.141090869280717e-05,4.141090869280717e-05
117,DURIPP,-100.0,99.21762145754934
118,EDA,0.0,100.0
119,EDD,0.0,100.0
120,EDTXS1,0.0056350508111679964,0.005895790390159861
121,EDTXS2,0.0056350508111679964,0.005895790390159861
122,ETHAAL,-100.0,99.59198945014178
123,F6PA,-100.0,100.0
124,FAO1,-100.0,99.99073034141566
125,FAO2,-100.0,99.93381655584301
126,FBA,-100.0,100.0
127,FBP,0.0,100.0
128,FMNAT,6.708393822819045e-06,7.01879808374609e-06
129,FRD2,-100.0,100.0
130,FRD3,-100.0,100.0
131,FRUK,0.0,-0.0
132,FTHFD,0.0,100.0
133,fum,-100.0,100.0
134,G1PACT,0.04830043552417518,0.05053534620143729
135,G1PP,-99.9645262626317,99.57348032074515
136,G3PD2,-100.0,100.0
137,G3PD5,0.0,100.0
138,G3PD6,-100.0,100.0
139,G3PD7,-100.0,100.0
140,G5SD,-99.78331887952295,99.90781869993586
141,G6PDA,-100.0,98.96411559314535
142,GALU,-6.061145154614849,100.0
143,GARFT,-99.66987390242463,99.60949835801927
144,GART,-99.27937218493288,100.0
145,GCALDD,0.033541969114095224,0.03509399041762021
146,GF6PTA,-99.95169956447589,100.0
147,GK1,-99.8132316075789,99.99999999999997
148,GLCP,-0.10808949048579564,24.89669073512809
149,GLCS1,0.0,25.0
150,GLGC,0.0,100.0
151,GLNS,-1.000017846308765e-10,100.0
152,GLU5K,-99.7833188795232,100.0
153,GLUDy,-100.0,100.0
154,GLUN,-100.0,100.0
155,GLUPRT,0.330126097575363,0.3454013706084993
156,GLUR,-0.019371882710487398,-0.01851516695101907
157,GLUSy,-100.0,100.0
158,GLXCL,0.0,100.0
159,GLYATi,-100.0,99.01964621573455
160,GLYCDx,-100.0,99.88924441798528
161,GLYCK,0.0,99.60473513339208
162,GLYCL,-99.94695049036508,99.0362638842816
163,GLYCLTDx,-100.0,100.0
164,GLYCLTDy,-100.0,100.0
165,GLYCTO2,0.0,100.0
166,GLYCTO3,-100.0,100.0
167,GLYCTO4,-100.0,100.0
168,GLYK,-100.0,100.0
169,GMHEPAT,0.01690515243350399,0.017687371170480137
170,GMHEPK,0.01690515243350399,0.017687371170480137
171,GMHEPPA,0.01690515243350399,0.017687371170480137
172,GMPR,-100.0,99.8132316075789
173,GMPS2,-99.8132316075789,100.0
174,GND,-100.0,100.0
175,GNK,0.0,9.531228487787992
176,GPDDA2,-100.0,99.38598014595055
177,GPDDA4,-99.68285464538903,99.97578269829981
178,GSNK,-100.0,100.0
179,GSPMDA,0.0,100.0
180,GSPMDS,0.0,100.0
181,GTPCI,0.033541969114097014,0.035093990417620125
182,GTPCII2,-7.018798083524042e-06,7.018798083524042e-06
183,GUAD,-100.0,100.0
184,GUAPRT,-100.0,100.0
185,HEX1,-1.000017846308765e-10,100.0
186,histd,0.060375544405687265,0.06316918275139471
187,HISTP,0.060375544405289396,0.06316918275174135
188,HPPK2,0.03354196911409524,0.03509399041762022
189,HPYRI,-100.0,100.0
190,HPYRRx,-100.0,100.0
191,HPYRRy,-100.0,100.0
192,HSST,0.09794254981310502,0.10247445201956396
193,HSTPT,0.060375544405289396,0.06316918283907144
194,HXPRT,-99.99530412432402,100.0
195,HYPOE,0.0,100.0
196,ICDHyr,-99.25496578203771,100.0
197,ICL,-100.0,100.0
198,IDOND,-100.0,100.0
199,IDOND2,-99.15964242841792,100.0
200,IG3PS,0.060375544405289396,0.06316918275174135
201,IGPDH,0.060375544405289396,0.06316918275174135
202,IGPS,0.03622532664321909,0.03790146773500543
203,ILETA,-0.1937188271042345,-0.18515166951083017
204,IMPC,-0.4085705533602919,-0.39050164197999493
205,IMPD,-99.8132316075789,100.0
206,INSK,-100.0,100.0
207,IPDDIi,0.0,-0.0
208,IPDPS,0.0,-0.0
209,IPMD,0.2871192556166551,0.3004045579748289
210,IPPMIa,-0.3004045579748289,-0.2871192556166551
211,IPPMIb,-0.3004045579748289,-0.2871192556166551
212,IPPS,0.2871192556166551,0.3004045579748289
213,KARA1i,0.5568362668175352,0.5824226630270382
214,KARA2i,0.18515166950973896,0.19371882710530602
215,KAS14,-99.85351685416369,100.0
216,KAS15,-100.0,100.0
217,KAS16,0.022540203244671986,0.023583161560640775
218,KDOCT2,0.028175254055617494,0.02947895195087291
219,KDOPP,0.028175254055617494,0.02947895195087291
220,KDOPS,0.028175254055617494,0.02947895195087291
221,LDHD2,0.0,99.60557827429895
222,LEUTAi,0.2871192556182649,0.3004045579732093
223,L-LACD2,1.3500311979441904e-13,100.0
224,L-LACD3,-99.04800429803436,-0.0
225,LPADSS,0.0056350508111679964,0.005895790390159861
226,LPLIPA1,-100.0,99.99955743792759
227,LPLIPA2,-100.0,100.0
228,LPLIPA4,-99.99901789575394,100.0
229,LPLIPA5,-100.00000000000001,99.99950000034738
230,LPLIPA6,-100.0,100.0
231,LPSSYNEC,0.0056350508111679964,0.005895790390159861
232,MACPD,-100.0,100.0
233,MALS,-100.0,100.0
234,MCITD,-0.19371882710525767,100.0
235,MCITL2,-0.19371882817088704,100.0
236,MCITS,-0.19371882710525767,100.0
237,MCOATA,-91.88836960725463,100.0
238,MDH,-100.0,100.0
239,MDH2,0.0,100.0
240,MDH3,-100.0,100.0
241,MDRPD,0.004695875675835737,0.004913158658609973
242,ME1,-100.0,100.0
243,ME2,-100.0,100.0
244,METAT,0.004695875675893532,0.004913158658545037
245,METS,0.09794254981310502,0.10247445201956396
246,MICITD,-0.19371882817088704,100.0
247,MLTG2,-100.0,99.45077615632383
248,MLTG3,-100.0,100.0
249,MLTG4,-100.0,100.0
250,MLTG5,-99.17714356401673,100.0
251,MLTP1,-100.0,99.11029094662393
252,MLTP2,-99.57348032074553,99.11953270250586
253,MLTP3,-100.0,100.0
254,MMCD,-99.81484833049075,100.0
255,MME,-99.81484833049065,100.0
256,MMM2,-99.31117873032053,100.0
257,MOAT,0.0056350508111679964,0.005895790414493714
258,MOAT2,0.0056350508111679964,0.005895790390159861
259,MOHMT,-4.141090869280717e-05,4.141090869280717e-05
260,MTAN,0.004695875675977845,0.00491315867874938
261,MTHFC,-99.09738414635646,100.0
262,MTHFD,-98.88291245877954,100.0
263,MTHFR2,0.13148451892710966,0.13756844243719968
264,MTRI,0.004695875675835737,0.00491315867874938
265,MTRK,0.004695875675835737,0.00491315867874938
266,NADH10,-100.0,100.0
267,NADH5,0.0,99.07087333933877
268,NADH9,-100.0,100.0
269,NADK,0.0,100.0
270,NADPPPS,-0.00042203555368303114,99.99964441737185
271,NAMNPP,-0.0019161713792925639,99.99864343712292
272,NDPK1,-100.0,100.0
273,NDPK2,-100.0,100.0
274,NDPK5,-100.0,100.0
275,NDPK6,-99.7456177062387,99.95936769464083
276,NDPK7,-99.68065736493006,99.70896692981717
277,NMNN,-0.0019161713792925639,100.0
278,NNDPR,0.0018313915136294204,0.0019161318768028401
279,NTD1,-99.28443535872434,100.0
280,NTD10,-100.0,100.0
281,NTD11,-100.0,100.0
282,NTD2,-100.0,100.0
283,NTD4,-100.0,100.0
284,NTD5,0.0,100.0
285,NTD6,-100.0,99.23191684441548
286,NTD8,-99.22885332318322,99.8132316075789
287,NTD9,-100.0,100.0
288,NTPTP1,-99.06556759835901,99.06486072185993
289,NTPTP2,-100.0,100.0
290,OBTFL,-99.04200139559336,99.31117869256502
291,OMCDC,0.2871192556166551,0.3004045579748289
292,OMPDC,0.21138148935703782,0.22116232761183596
293,ORPT,-0.22116232761182175,-0.21138148935705203
294,P5CR,-99.85912372972007,100.0
295,PANTS,-4.141090869280717e-05,4.141090869280717e-05
296,PAPAEC,-0.011791580780325717,99.98872989837787
297,PAPPT3,0.018515166951051487,0.01937188271045409
298,PAPSR,0.15634515559523837,0.16357940625480294
299,PDH,-100.0,100.0
300,PDXPP,-1.000017846308765e-10,100.0
301,PEPTEC,0.011270101622335993,0.011791580780319721
302,PFK,-100.0,100.0
303,PFL,-100.0,99.94321856479655
304,PGAMT,-0.05053534620143729,-0.04830043552417518
305,PGMT,-100.0,5.647908095133971
306,PGPPEC,-99.23731075492584,100.0
307,PGSAEC,-99.64990518262508,100.0
308,PHETA1,-0.12353084626937161,-0.11806773128225956
309,PLIPA1,-100.0,99.97578269829953
310,PMDPHT,6.708393822819045e-06,7.018798083524042e-06
311,PNTK,-4.141090869280717e-05,4.141090869280717e-05
312,ppa,-100.0,100.0
313,PPC,0.0,100.0
314,PPCDC,3.957952355466747e-05,4.1410908920624934e-05
315,PPCK,-100.0,100.0
316,PPM,-100.0,99.36006011275026
317,PPNCL2,3.957952355466746e-05,4.141090869282857e-05
318,PPND,0.08787995907940527,0.09194141107133783
319,PPNDH,0.11806773128225956,0.12353084626937161
320,PPS,-100.0,100.0
321,PPTGS,0.018515166951051487,0.01937188271045409
322,PRAGSr,0.3301260975752882,0.345401370608414
323,PRAIi,0.03622532664321909,0.03790150965102982
324,PRAIS,0.33012609757543565,0.34540137060857035
325,PRAMPC,0.060375544405289396,0.06316918275174135
326,PRASCS,0.33012609757534506,0.34540137060845666
327,PRATPP,0.060375544405289396,0.06316918275174135
328,PRFGS,0.3301260975753735,0.3454013706084993
329,PRMICIi,0.060375544405289396,0.06316918275174135
330,PROD2,-100.0,99.85912372972007
331,PRPPS,-99.36006015050685,100.0
332,PSCVT,0.2757149861174071,0.28762816954678827
333,PSDEC,-99.92382618814202,99.99825581981965
334,PSSAEC,-99.92208200574822,99.99687876208503
335,PTAr,-99.02709174345979,100.0
336,PTPATi,-4.141090869280717e-05,4.141090869280717e-05
337,PUNP1,-100.0,100.0
338,PUNP2,-100.0,100.0
339,PUNP4,-99.88386997307565,100.0
340,PUNP5,-99.01848891592603,100.0
341,PUNP6,-0.017336431266301133,98.9004445016599
342,PUNP7,-100.0,100.0
343,PYAM5PO,0.0,46.98451196555207
344,PYDAMK,0.0,100.0
345,PYDXK,0.0,100.0
346,PYDXNK,0.0,100.0
347,PYDXPP,0.0,100.0
348,PYK,-100.0,100.0
349,PYNP2r,-100.0,100.0
350,QULNS,0.0018313915136295026,0.0019161318768019624
351,RBFK,6.708393822819044e-06,7.009831183777808e-06
352,RBFSa,1.3416787645616936e-05,1.4037596167270135e-05
353,RBFSb,6.708393822808468e-06,7.01879808374609e-06
354,RNDR1,-100.0,99.09544718812651
355,RNDR2,-99.01655136482633,100.0
356,RNDR4,-100.0,100.0
357,RNTR1,-99.98343026725769,100.0
358,RNTR2,-100.0,100.0
359,S7PI,0.01690515243350399,0.017687371170480137
360,SADT2,0.15634515559523834,0.16357940625480294
361,SDPDS,0.23720880557488142,0.2481847009170603
362,SDPTA,-0.2481847009170603,-0.23720880557488142
363,SERDL,0.0,99.4411009020821
364,SHK3Dr,0.27571498611786277,0.28847260123283813
365,SHKK,0.2757149861178627,0.2884726012328381
366,SHSL1,0.09794254981310502,0.10247445201956396
367,SPMS,0.004695875675977845,0.004913158658467864
368,SSALx,-100.0,100.0
369,SSALy,-100.0,99.71706895827859
370,SUCD,-99.13788650056935,46.98634343257186
371,SUCOAS,-100.0,100.0
372,SULR,-0.16357940625480294,-0.15634515559523837
373,TDSK,0.0056350508111679964,0.005895790390159861
374,TESTAKGDH,-100.0,99.25496578203754
375,TESTNADTRHD,-100.0,100.0
376,THDPS,0.23720880557488142,0.2481847002334101
377,THRD,-100.0,99.11007704624126
378,THRDL,-99.81484833049049,99.49633036207516
379,TMAOR1,0.0,-0.0
380,TMAOR2,0.0,-0.0
381,TMDK1,0.0,100.0
382,TMDS,0.01656973274236151,0.017336431266306462
383,TRE6PH,-100.0,100.0
384,TRE6PP,0.0,100.0
385,TRE6PS,-6.074427774383764,99.72867297428115
386,TREH,0.0,100.0
387,TREHe,-6.074427774383764,6.217248937900877e-14
388,TRPAS2,-0.03790150965103578,100.0
389,TRPS1,0.0,100.0
390,TRPS2,0.0,99.99212896028725
391,TRPS3,-99.96377467335685,0.03790150965103578
392,TRSAR,-100.0,100.0
393,TYRTA,-0.09194625489368491,-0.08787995907940527
394,U23GAAT,0.011270101622335993,0.011791580780320388
395,UAAGDS,0.018515166951051487,0.01937188271045409
396,UAGAAT,0.011270101622335993,0.011791580780320388
397,UAGCVT,0.01851516695101907,0.019371882710487398
398,UAGDP,0.04830043552417518,0.05053534620143729
399,UAGPT3,0.018515166951051487,0.01937188271045409
400,UAMAGS,0.018515166951051487,0.019371882710487398
401,UAMAS,0.01851516695101907,0.019371882710487398
402,UAPGR,0.01851516695101907,0.019371882710487398
403,UDCPDP,0.018515166951051487,0.01937188271045409
404,UGMDDS,0.018515166951051487,0.01937188271045409
405,UHGADA,0.011270101622335993,0.011791580780320388
406,UMPK,-98.7783302193395,100.0
407,UNK3,0.004695875675893532,0.004913158658545037
408,UPPRT,-100.0,100.0
409,URIDK2r,-99.78103802562326,100.0
410,URIK2,-99.37662980773675,100.0
411,USHD,0.0056350508111679964,0.005895790390159861
412,VALTA,-100.0,99.3474074489163
413,VPAMT,-99.73032256832118,99.6170848805935
414,XPPT,-100.0,100.0
415,biomass,0.6708393822857204,0.7018798083485507
416,EX_ac,8.826068397839,12.84593332748
417,EX_h2o,16.103440453574393,17.346813674214985
418,EX_nh3,-8.259854073276543,-7.738956551196683
419,EX_pi,-0.6697596826828285,-0.6401397596305254
420,EX_so4,-0.163579406254803,-0.1563451555952384
421,ACt2r,-12.841706670631275,-8.82606839783898
422,ARGabc,-100.0,100.0
423,ARGORNt7,-100.0,100.0
424,ATPS4r,0.0,100.0
425,Cex,-100.0,-4.68771694194225
426,CHLabc,0.0,100.0
427,CHLt2r,-100.0,-0.0
428,CYTBD,0.0,100.0
429,DMSOR1e,0.0,-0.0
430,DMSOR2e,0.0,-0.0
431,FDH2,0.0,99.49297389222099
432,FDH3,-100.0,89.9709872830552
433,FRUpts,0.0,-0.0
434,FRUpts2,0.0,-0.0
435,FUMt22,-100.0,100.0
436,GALabc,0.0,100.0
437,GALt2,-100.0,-0.0
438,GLCDe,0.0,9.531228305402164
439,GLCNt2r,0.0,9.531228305809712
440,GLCpts,0.0,12.148855548767477
441,GLCt2,0.0,12.148855548767624
442,GLYBabc,0.0,100.0
443,GLYBt2r,-99.21155752779298,-0.0
444,GLYC3Pabc,0.0,0.669759804874503
445,GLYC3Pt6,-0.669759682682809,-0.0
446,Ht,-100.0,-0.0
447,HYD1,0.0,100.0
448,HYD2,-100.0,100.0
449,HYD3,-100.0,100.0
450,ILEabc,0.0,100.0
451,ILEt2r,-99.83824418677182,-0.0
452,LEUabc,0.0,100.0
453,LEUt2r,-100.0,-0.0
454,LYSabc,-100.0,100.0
455,LYSt2r,-99.04584148458157,100.0
456,NADH6,0.0,99.10547374602774
457,NADH7,-100.0,100.0
458,NADH8,-100.0,100.0
459,NH3t,7.738956551196809,8.259854073276466
460,NMNt7,-100.0,100.0
461,NO3R1,-99.75715855377369,-0.0
462,NO3R2,0.0,99.54048702260319
463,ORNabc,0.0,100.0
464,PIabc,0.0,0.6697596826827806
465,PIt2r,0.0,0.6697596826832601
466,PTRCabc,0.0,100.0
467,PTRCORNt7,-100.0,100.0
468,PTRCt2r,-100.0,100.0
469,SUCCabc,-100.0,100.0
470,SUCCt22,-100.0,100.0
471,SUCFUMt,-100.0,100.0
472,SULabc,0.15634515559523837,0.16357940625480297
473,THD2,-100.0,100.0
474,TMAOR1e,0.0,-0.0
475,TMAOR2e,0.0,-0.0
476,TREpts,2.842170943040401e-14,6.074427774383764
477,VALabc,0.0,99.09722325952072
478,VALt2r,-100.0,-0.0
479,biomass_ce,0.6708393822857204,0.7018798083485507
480,biomass_EX,0.670839382285755,0.7018798083485249
481,OROTex,0.0,100.0
482,DCTA,-99.73811580193959,0.35540588204754897
483,EX_oro,0.261884198060484,0.35540588204754797
